RS_GCF_000967545.1
RS_GCF_001274785.1
RS_GCF_000189255.1
RS_GCF_000808535.1
RS_GCF_000222605.1
RS_GCF_011806575.1
RS_GCF_000189275.1
RS_GCF_000176135.1
RS_GCF_007990935.1
RS_GCF_000967495.1
RS_GCF_000222585.1
RS_GCF_000775715.1
RS_GCF_013114545.1
RS_GCF_000772105.1
RS_GCF_900460535.1
RS_GCF_002163755.1
RS_GCF_006124995.1
RS_GCF_002849855.1
RS_GCF_001591145.1
RS_GCF_002741985.1
RS_GCF_000165125.1
RS_GCF_000817815.1
RS_GCF_000830505.1
RS_GCF_900460245.1
RS_GCF_000417905.1
RS_GCF_000354175.2
RS_GCF_002906655.1
GB_GCA_001048675.1
RS_GCF_013113835.1
RS_GCF_000171815.1
RS_GCF_013369335.1
RS_GCF_000176175.1
RS_GCF_001399455.2
RS_GCF_013369385.1
RS_GCF_002224265.1
RS_GCF_016900875.1
RS_GCF_010587385.1
RS_GCF_009938225.1
RS_GCF_003350325.1
RS_GCF_000222685.1
RS_GCF_003415655.1
RS_GCF_003544875.1
RS_GCF_002563795.1
RS_GCF_000467125.1
RS_GCF_009938205.1
RS_GCF_014050145.1
RS_GCF_900107935.1
RS_GCF_000176155.1
GB_GCA_000755385.1
GB_GCA_015767675.1
RS_GCF_905175385.1
RS_GCF_012395185.1
RS_GCF_000764325.1
RS_GCF_000740015.1
RS_GCF_009811315.1
RS_GCF_001639065.2
RS_GCF_900088415.1
RS_GCF_019226825.1
RS_GCF_009763805.1
RS_GCF_003605645.1
RS_GCF_001854765.1
RS_GCF_013041605.1
RS_GCF_009938165.1
RS_GCF_000467185.1
RS_GCF_006538525.1
RS_GCF_000496695.1
RS_GCF_002933855.1
RS_GCF_001677275.1
RS_GCF_003569005.1
RS_GCF_011064285.1
RS_GCF_003970425.1
GB_GCA_000695745.1
RS_GCF_000827885.1
RS_GCF_001547935.1
RS_GCF_002873395.1
RS_GCF_000272145.2
RS_GCF_900089835.1
RS_GCF_000176235.1
RS_GCF_006538565.1
RS_GCF_001676025.1
GB_GCA_000830415.1
GB_GCA_003263775.1
GB_GCA_000755425.1
GB_GCA_003263785.1
RS_GCF_900233005.1
RS_GCF_014694455.1
RS_GCF_002218005.2
RS_GCF_012641465.1
RS_GCF_002873335.1
RS_GCF_002811245.1
RS_GCF_002218045.2
RS_GCF_002157735.2
RS_GCF_013074385.2
RS_GCF_014694375.1
RS_GCF_002934045.1
RS_GCF_015223435.1
RS_GCF_002749895.1
RS_GCF_002218025.2
RS_GCF_002196515.1
RS_GCF_900167345.1
RS_GCF_003716875.1
RS_GCF_011306175.1
RS_GCF_001012815.1
RS_GCF_005144905.1
RS_GCF_003856525.1
RS_GCF_002156525.1
RS_GCF_013394185.1
RS_GCF_007858795.1
RS_GCF_000272045.2
RS_GCF_003026105.1
RS_GCF_015594925.1
RS_GCF_008801285.1
RS_GCF_013114625.1
RS_GCF_000316985.1
RS_GCF_000272105.2
RS_GCF_900089765.1
RS_GCF_002875705.1
RS_GCF_001635455.1
RS_GCF_001048535.1
RS_GCF_000286955.2
RS_GCF_005281815.1
